analysis_unit,women_over_65,proportion_indigenous,left_school_y10,single_parent_families,low_income_families,mother_low_education,severely_crowded,crowded,more_bedrooms_needed,Privately_rented,Total_admissions_u15,Adult_Total_admissions,preventable_admissions_u15,Adult_preventable_admissions,Aboriginal_unemployment,female_participation,IRSOI,Ante_natal_care_by_10w,smoking_pregnancy,immunised_by5,severe_disability,age_death,region,all_preventable_admissions,all_admissions,latent_v_community
IARE105004,4.0409639,4.2316143,56.376474,37.012987,8.1850534,41.635688,0,5.465288,4.375,31.462334,15277.24,37043.973,2752.2952,2575.0331,12.096774,52.857143,15.441176,40.489313,34.854793,100,7.0921986,70,4,5327.328,52321.21,-2.519171
IARE101001,5.4493899,20.574128,54.187674,44.186047,19.863014,36.931818,0,12.560386,9.9447514,28.743961,10860.3,41346.288,2375.9233,3182.4786,12.962963,51.408451,37.009804,52.173913,54.347826,100,1.4150943,69,4,5558.402,52206.59,-2.801491
IARE103001,6.5908552,41.613234,59.599693,46.323529,9.7959184,45.090909,0,16.152898,8.6956522,19.358816,21027.836,49354.126,3429.9317,4952.478,16.602317,46.153846,64.460784,52.222222,57.777778,97.142857,2.6347305,61,4,8382.41,70381.96,-5.970418
IARE103002,6.6040459,67.637766,58.874593,62.068966,23.529412,51.636364,193.96552,27.37069,14.662757,14.978448,21413.799,51736.51,3973.8468,5293.6706,32.319392,33.15508,80.637255,53.49113,57.766526,97.464705,3.0447193,61,4,9267.518,73150.31,-6.688697
IARE103003,6.7582039,16.8499,63.415262,36.842105,14.220183,55.339806,0,10.731707,4.9469965,25.853659,18094.162,34790.542,1850.3097,3793.962,16.455696,48.660714,54.656863,60.606061,42.424242,77.777778,3.2733224,69,4,5644.272,52884.7,-2.96298
IARE105007b,5.6755716,3.9352024,55.015886,36.879433,12.851406,41.634241,0,5.1805338,2.5641026,33.908948,15203.254,41730.901,,3279.3079,17.479675,58.585859,26.22549,,,,8.5487078,,4,,56934.16,-3.334809
IARE103004,7.0279584,38.628412,53.349836,59.898477,14.404432,39.858491,0,13.103448,8.7248322,24.396552,12534.052,46389.104,2189.6565,6301.4499,28.045326,43.309002,73.284314,55.696203,59.493671,100,6.4878893,66,4,8491.106,58923.16,-4.727882
IARE105009,7.4307155,9.3649562,59.632435,50.549451,16.208791,49.371069,0,6.2105263,4.7619048,26.947368,13889.934,36119.275,2042.5399,3065.6442,16.718266,44.144144,52.696078,36.44194,35.998056,100,8.0820265,68.5,4,5108.184,50009.21,-2.406069
IARE101002,4.3712998,17.013547,56.519171,52.364273,10.918367,45.208041,38.596491,13.877193,7.8118256,38.175439,18104.056,32398.141,3245.3615,2595.3627,16.012921,53.594771,38.970588,50.956141,42.431866,96.836523,5.1414906,61,4,5840.724,50502.2,-2.774483
IARE103005,4.6016907,13.585028,60.830599,55.889724,15.285714,55.090656,75.365049,15.685351,9.0285714,32.171455,15206.815,35902.193,3098.5264,3835.9275,22.076023,43.239796,69.362745,61.24031,71.317829,100,4.3576941,65,4,6934.454,51109.01,-3.382205
