analysis_unit,women_over_65,proportion_indigenous,left_school_y10,single_parent_families,low_income_families,mother_low_education,severely_crowded,crowded,more_bedrooms_needed,Privately_rented,Total_admissions_u15,Adult_Total_admissions,preventable_admissions_u15,Adult_preventable_admissions,Aboriginal_unemployment,female_participation,IRSOI,Ante_natal_care_by_10w,smoking_pregnancy,immunised_by5,severe_disability,age_death,region,all_preventable_admissions,all_admissions,latent_v_community
IARE104010,3.3019523,5.124053,60.405566,59.090909,9.7744361,40.677966,0,18.032787,8.6705202,37.704918,20116.605,60033.813,4984.6904,4763.2407,23.232323,33.571429,74.754902,50.76959,59.162304,,6.6805846,62.5,2,9747.931,80150.42,-7.524419
IARE104012,3.4856222,5.9943173,53.169949,52.771619,12.817259,41.699346,38.480038,14.333814,8.9613035,37.758538,22204.173,48580.17,5528.9222,3732.5722,19.761273,53.611111,34.313725,44.062838,53.897743,92.679016,6.2532035,58,2,9261.494,70784.34,-6.129005
IARE102006,11.604951,15.161995,53.155782,43.678161,12,39.726027,0,12.674544,7.1942446,31.04189,11679.439,26508.427,1712.3243,2836.0041,18.380062,42.985075,47.794118,57.894737,60.526316,100,5.0617284,61,2,4548.329,38187.87,-1.035004
IARE102007,6.0487964,30.823871,56.51495,67.532468,19.005329,50,0,15.05895,8.1491713,28.778135,17133.918,34173.4,2578.2671,3342.6669,26.210351,41.466855,75.735294,32.954545,47.727273,100,4.0156163,62.5,2,5920.934,51307.32,-3.042265
IARE102008,4.6852156,20.311007,62.423838,53.548387,24.806202,46.202532,713.50165,27.332602,11.960133,24.588364,29473.857,57675.26,4681.5721,7670.8836,22.317597,35.423197,80.882353,64.685625,38.496856,96.2901,3.4274194,63.5,2,12352.46,87149.12,-9.360276
IARE102010,5.5847426,15.105774,56.917623,48.160535,15.648855,45.622896,38.535645,12.780989,7.0359281,37.572254,22019.935,49127.047,2833.4848,4040.5432,18.857143,46.992481,60.539216,48.006468,54.373205,95.093195,4.6010065,67.5,2,6874.028,71146.98,-5.375452
IARE104015,4.3211809,4.8520486,52.292359,42.199108,9.8221191,41.688425,0,10.866091,7.6770351,43.048897,10040.941,29734.33,1753.627,2254.9031,14.186851,54.282964,24.509804,26.190476,35.119048,98.924731,8.0033003,67,2,4008.53,39775.27,-0.8340793
IARE104017,3.3099717,8.7179229,54.254246,50.299401,14.028777,47.634069,0,15.671642,10.703364,40.174129,23492.563,56011.285,5252.1476,4818.1549,21.894737,41.153846,66.911765,46.143302,58.816837,100,6.4335664,55,2,10070.3,79503.85,-7.553444
IARE102011,4.803482,12.250569,58.398596,50.912106,10.99325,44.322665,8.6221762,12.553889,7.8525641,42.679772,22396.791,43848.87,3218.7048,3661.8593,16.171456,51.971326,42.647059,37.844037,46.788991,98.342541,5.1981253,59.5,2,6880.564,66245.66,-4.818816
IARE104019,4.5652868,8.2588116,58.394763,53.879941,15.789474,51.963048,30.740855,15.278205,8.9401586,37.011989,17485.559,33521.675,2169.7822,2736.0209,23.119469,42.390289,68.627451,41.22807,45.614035,98.666667,7.9339509,60,2,4905.803,51007.23,-2.627335
IARE102012,3.7762976,7.3155369,57.582077,57.317073,19.858156,46.896552,0,14.962594,8.4745763,28.179551,24719.649,60252.815,,5754.8643,25.263158,36.49635,77.45098,51.428571,68.571429,95.238095,6.2906725,61.5,2,,84972.46,-8.368104
IARE104020,6.1724688,4.7610143,51.847939,43.809524,9.0783091,39.309764,16.816143,13.088565,8.504222,38.508969,14055.143,37238.343,2474.8025,2727.0121,12.731152,55.442443,22.303922,29.577465,29.577465,95.714286,5.6699291,64,2,5201.814,51293.49,-2.517051
IARE102013,4.4040604,6.2634601,59.892524,34.567901,8.6206897,47.058824,85.106383,4.5390071,5.5555556,36.453901,16439.463,36195.098,1046.1933,2324.1886,9.8591549,55.021834,16.421569,29.787234,38.297872,,3.5849057,,2,3370.382,52634.56,-1.867539
IARE102014,8.3463617,8.1032608,52.774803,44.715447,14.027149,36.619718,0,7.3043478,5.5350554,32.347826,12196.66,43410.293,1997.5321,4158.3996,15.577889,48.587571,47.303922,,61.929909,100,6.7978533,66,2,6155.932,55606.95,-3.383833
IARE105001,3.4856908,3.2968029,58.431602,56.363636,18.71345,50,101.37581,11.440985,7.1104387,35.481535,18953.527,43035.615,2416.6116,4034.1759,23.623853,45.258621,56.617647,62.698872,52.245503,98.019599,5.625,55,3,6450.788,61989.14,-4.257533
